;"(deg C) Mean Temperature (ERA5 LAND DAILY) at 29.9860E,40.1448N, 1994-01-01 to 2023-01-01"
"1994-01-01";5,9159
"1994-01-02";7,9962
"1994-01-03";5,164
"1994-01-04";1,869
"1994-01-05";1,6209
"1994-01-06";4,0609
"1994-01-07";4,897
"1994-01-08";6,0216
"1994-01-09";7,0032
"1994-01-10";8,0814
"1994-01-11";5,8432
"1994-01-12";5,0681
"1994-01-13";6,3673
"1994-01-14";5,1996
"1994-01-15";3,7053
"1994-01-16";3,4624
"1994-01-17";4,6915
"1994-01-18";5,991
"1994-01-19";6,2363
"1994-01-20";5,5017
"1994-01-21";4,6143
"1994-01-22";1,2192
"1994-01-23";0,0557
"1994-01-24";1,6884
"1994-01-25";2,7352
"1994-01-26";1,7867
"1994-01-27";4,0174
"1994-01-28";5,5184
"1994-01-29";4,3359
"1994-01-30";-0,5203
"1994-01-31";-2,0969
"1994-02-01";-1,4108
"1994-02-02";-2,5095
"1994-02-03";-1,7481
"1994-02-04";1,7084
"1994-02-05";5,0602
"1994-02-06";4,5459
"1994-02-07";5,4576
"1994-02-08";4,7844
"1994-02-09";3,3173
"1994-02-10";4,1848
"1994-02-11";3,1162
"1994-02-12";2,2231
"1994-02-13";-2,332
"1994-02-14";-3,3214
"1994-02-15";-3,3773
"1994-02-16";-5,0745
"1994-02-17";-5,5828
"1994-02-18";-0,25
"1994-02-19";1,9557
"1994-02-20";1,7895
"1994-02-21";3,267
"1994-02-22";3,7965
"1994-02-23";3,634
"1994-02-24";4,3887
"1994-02-25";4,8994
"1994-02-26";3,9481
"1994-02-27";4,0619
"1994-02-28";4,9404
"1994-03-01";8,5903
"1994-03-02";7,3995
"1994-03-03";8,1507
"1994-03-04";6,8099
"1994-03-05";2,2985
"1994-03-06";-0,173
"1994-03-07";0,6832
"1994-03-08";2,5752
"1994-03-09";2,501
"1994-03-10";0,4982
"1994-03-11";0,3554
"1994-03-12";0,246
"1994-03-13";0,4895
"1994-03-14";4,5272
"1994-03-15";6,3906
"1994-03-16";8,8171
"1994-03-17";9,6067
"1994-03-18";8,1932
"1994-03-19";5,6983
"1994-03-20";7,896
"1994-03-21";8,0223
"1994-03-22";9,5779
"1994-03-23";3,9959
"1994-03-24";3,5795
"1994-03-25";8,3743
"1994-03-26";11,0677
"1994-03-27";12,6784
"1994-03-28";11,5482
"1994-03-29";4,0832
"1994-03-30";2,3804
"1994-03-31";3,5806
"1994-04-01";5,8546
"1994-04-02";8,9965
"1994-04-03";12,0687
"1994-04-04";14,434
"1994-04-05";16,2594
"1994-04-06";14,7423
"1994-04-07";11,3466
"1994-04-08";8,6188
"1994-04-09";8,9984
"1994-04-10";11,201
"1994-04-11";12,1901
"1994-04-12";15,6683
"1994-04-13";17,8497
"1994-04-14";16,1823
"1994-04-15";15,2254
"1994-04-16";14,6563
"1994-04-17";16,2119
"1994-04-18";18,3123
"1994-04-19";17,6664
"1994-04-20";15,6576
"1994-04-21";14,3656
"1994-04-22";13,8455
"1994-04-23";9,638
"1994-04-24";9,0924
"1994-04-25";11,3415
"1994-04-26";12,4435
"1994-04-27";12,5654
"1994-04-28";11,3579
"1994-04-29";10,3133
"1994-04-30";9,6604
"1994-05-01";9,6218
"1994-05-02";12,5349
"1994-05-03";9,9912
"1994-05-04";9,2365
"1994-05-05";9,3685
"1994-05-06";12,4079
"1994-05-07";11,9085
"1994-05-08";9,8993
"1994-05-09";11,6249
"1994-05-10";12,517
"1994-05-11";12,7133
"1994-05-12";9,7893
"1994-05-13";12,1094
"1994-05-14";13,6057
"1994-05-15";14,4587
"1994-05-16";17,1528
"1994-05-17";18,098
"1994-05-18";20,4786
"1994-05-19";21,6822
"1994-05-20";19,2725
"1994-05-21";18,2902
"1994-05-22";18,7452
"1994-05-23";19,2555
"1994-05-24";19,8045
"1994-05-25";21,802
"1994-05-26";22,8216
"1994-05-27";22,6391
"1994-05-28";19,0998
"1994-05-29";16,6101
"1994-05-30";17,4423
"1994-05-31";17,1288
"1994-06-01";12,7877
"1994-06-02";13,2692
"1994-06-03";16,5797
"1994-06-04";20,3311
"1994-06-05";23,4367
"1994-06-06";19,4951
"1994-06-07";15,9225
"1994-06-08";11,4584
"1994-06-09";13,6942
"1994-06-10";16,4664
"1994-06-11";18,2593
"1994-06-12";18,6815
"1994-06-13";18,7405
"1994-06-14";22,1579
"1994-06-15";17,8021
"1994-06-16";15,3794
"1994-06-17";16,7571
"1994-06-18";17,4334
"1994-06-19";17,1737
"1994-06-20";19,9628
"1994-06-21";22,4731
"1994-06-22";19,7432
"1994-06-23";17,6232
"1994-06-24";16,9806
"1994-06-25";17,9093
"1994-06-26";16,267
"1994-06-27";17,1535
"1994-06-28";20,1021
"1994-06-29";21,7363
"1994-06-30";21,1005
"1994-07-01";21,9847
"1994-07-02";21,8776
"1994-07-03";19,9995
"1994-07-04";19,1539
"1994-07-05";20,5776
"1994-07-06";21,7403
"1994-07-07";22,5952
"1994-07-08";22,5307
"1994-07-09";23,6558
"1994-07-10";22,9947
"1994-07-11";20,7301
"1994-07-12";20,1309
"1994-07-13";19,6129
"1994-07-14";19,9751
"1994-07-15";20,0142
"1994-07-16";19,7139
"1994-07-17";19,4563
"1994-07-18";19,7556
"1994-07-19";21,4017
"1994-07-20";24,14
"1994-07-21";24,5227
"1994-07-22";22,8915
"1994-07-23";21,977
"1994-07-24";21,4153
"1994-07-25";20,9337
"1994-07-26";18,2739
"1994-07-27";19,8015
"1994-07-28";20,5198
"1994-07-29";20,6305
"1994-07-30";20,2302
"1994-07-31";16,9747
"1994-08-01";17,8424
"1994-08-02";19,3164
"1994-08-03";21,1297
"1994-08-04";21,7399
"1994-08-05";21,7963
"1994-08-06";20,5891
"1994-08-07";20,049
"1994-08-08";20,8448
"1994-08-09";22,0775
"1994-08-10";22,8049
"1994-08-11";24,0167
"1994-08-12";26,2345
"1994-08-13";25,9089
"1994-08-14";23,9716
"1994-08-15";24,6521
"1994-08-16";20,9973
"1994-08-17";18,8557
"1994-08-18";20,827
"1994-08-19";22,4557
"1994-08-20";20,69
"1994-08-21";21,5726
"1994-08-22";21,9821
"1994-08-23";22,155
"1994-08-24";21,7086
"1994-08-25";22,3905
"1994-08-26";25,6452
"1994-08-27";21,0856
"1994-08-28";17,2404
"1994-08-29";17,1183
"1994-08-30";18,5501
"1994-08-31";19,5279
"1994-09-01";19,9072
"1994-09-02";20,4294
"1994-09-03";20,625
"1994-09-04";21,9918
"1994-09-05";21,2868
"1994-09-06";19,8316
"1994-09-07";20,3351
"1994-09-08";21,705
"1994-09-09";23,1095
"1994-09-10";22,9558
"1994-09-11";21,1854
"1994-09-12";21,1825
"1994-09-13";22,5404
"1994-09-14";22,8063
"1994-09-15";23,3439
"1994-09-16";23,8816
"1994-09-17";25,0177
"1994-09-18";24,196
"1994-09-19";24,9001
"1994-09-20";23,3679
"1994-09-21";20,0475
"1994-09-22";19,7627
"1994-09-23";19,567
"1994-09-24";18,6831
"1994-09-25";19,3044
"1994-09-26";19,3357
"1994-09-27";18,8688
"1994-09-28";19,1628
"1994-09-29";19,908
"1994-09-30";19,4336
"1994-10-01";18,8728
"1994-10-02";18,043
"1994-10-03";19,3329
"1994-10-04";20,8064
"1994-10-05";20,3289
"1994-10-06";20,0768
"1994-10-07";20,8203
"1994-10-08";20,8563
"1994-10-09";20,4458
"1994-10-10";18,8159
"1994-10-11";18,2251
"1994-10-12";15,6439
"1994-10-13";13,1261
"1994-10-14";12,6995
"1994-10-15";13,8007
"1994-10-16";14,1868
"1994-10-17";13,2165
"1994-10-18";12,6196
"1994-10-19";10,6478
"1994-10-20";12,9077
"1994-10-21";13,4347
"1994-10-22";14,1781
"1994-10-23";16,0754
"1994-10-24";16,2421
"1994-10-25";14,077
"1994-10-26";12,3609
"1994-10-27";13,2286
"1994-10-28";12,3573
"1994-10-29";11,0672
"1994-10-30";12,4518
"1994-10-31";13,4631
"1994-11-01";12,986
"1994-11-02";13,298
"1994-11-03";12,6408
"1994-11-04";11,1286
"1994-11-05";6,8909
"1994-11-06";1,4929
"1994-11-07";1,6711
"1994-11-08";2,6976
"1994-11-09";8,076
"1994-11-10";10,6181
"1994-11-11";11,7361
"1994-11-12";12,882
"1994-11-13";10,8459
"1994-11-14";4,7046
"1994-11-15";3,9236
"1994-11-16";4,0748
"1994-11-17";6,9727
"1994-11-18";8,5906
"1994-11-19";7,1273
"1994-11-20";3,9303
"1994-11-21";3,4985
"1994-11-22";4,7467
"1994-11-23";2,8539
"1994-11-24";1,8963
"1994-11-25";2,7704
"1994-11-26";0,7879
"1994-11-27";-1,5202
"1994-11-28";-1,9532
"1994-11-29";-2,7069
"1994-11-30";0,4564
"1994-12-01";-1,1759
"1994-12-02";-2,2594
"1994-12-03";-1,99
"1994-12-04";-0,6661
"1994-12-05";-2,0484
"1994-12-06";-2,0541
"1994-12-07";2,382
"1994-12-08";2,5605
"1994-12-09";0,3326
"1994-12-10";1,2264
"1994-12-11";2,5282
"1994-12-12";4,2691
"1994-12-13";6,0328
"1994-12-14";4,7279
"1994-12-15";3,4836
"1994-12-16";-1,2227
"1994-12-17";-1,5493
"1994-12-18";-2,7735
"1994-12-19";-2,1219
"1994-12-20";-3,2827
"1994-12-21";-4,3439
